iter	Passed	Remaining
0	160	160767
1	164	82070
2	166	55234
3	169	42295
4	171	34196
5	173	28761
6	175	24900
7	176	21936
8	178	19696
9	180	17839
10	183	16508
11	185	15240
12	186	14173
13	189	13313
14	191	12542
15	192	11839
16	193	11203
17	195	10675
18	197	10208
19	199	9776
20	200	9369
21	202	8995
22	203	8662
23	206	8405
24	208	8130
25	213	8011
26	215	7757
27	217	7548
28	218	7324
29	220	7138
30	223	6989
31	224	6803
32	227	6675
33	229	6517
34	230	6365
35	233	6242
36	234	6116
37	236	5990
38	238	5866
39	241	5796
40	242	5683
41	244	5572
42	246	5479
43	247	5385
44	249	5293
45	251	5208
46	252	5126
47	255	5066
48	257	4995
49	259	4937
50	261	4868
51	263	4798
52	264	4725
53	265	4655
54	268	4616
55	270	4553
56	271	4494
57	273	4434
58	274	4382
59	277	4343
60	278	4291
61	280	4240
62	283	4218
63	285	4177
64	287	4130
65	288	4080
66	289	4031
67	291	3991
68	292	3949
69	294	3908
70	295	3866
71	298	3842
72	300	3813
73	301	3777
74	303	3737
75	304	3698
76	305	3660
77	307	3632
78	308	3597
79	310	3565
80	311	3532
81	313	3508
82	314	3470
83	315	3441
84	317	3418
85	320	3403
86	321	3374
87	322	3346
88	324	3319
89	325	3289
90	327	3274
91	329	3252
92	330	3226
93	332	3201
94	333	3176
95	334	3152
96	336	3129
97	337	3109
98	339	3091
99	342	3083
100	344	3065
101	345	3045
102	347	3029
103	349	3007
104	350	2985
105	351	2965
106	353	2948
107	354	2929
108	357	2921
109	359	2908
110	361	2892
111	362	2872
112	363	2853
113	364	2835
114	367	2827
115	368	2810
116	369	2790
117	371	2774
118	373	2762
119	374	2747
120	375	2730
121	376	2710
122	377	2693
123	379	2677
124	380	2661
125	381	2647
126	383	2633
127	384	2622
128	386	2608
129	388	2599
130	390	2590
131	392	2578
132	393	2565
133	394	2550
134	395	2536
135	397	2522
136	399	2513
137	400	2503
138	403	2502
139	405	2489
140	406	2475
141	407	2459
142	408	2448
143	410	2438
144	411	2427
145	413	2417
146	414	2407
147	418	2409
148	420	2399
149	421	2389
150	422	2378
151	424	2366
152	425	2355
153	426	2345
154	428	2335
155	429	2326
156	432	2320
157	433	2312
158	436	2308
159	438	2303
160	439	2291
161	441	2282
162	442	2272
163	443	2262
164	445	2252
165	446	2242
166	448	2239
167	450	2230
168	452	2222
169	453	2213
170	454	2203
171	456	2196
172	457	2187
173	459	2179
174	461	2177
175	464	2176
176	466	2171
177	468	2162
178	469	2153
179	471	2146
180	472	2139
181	474	2131
182	478	2136
183	479	2128
184	481	2119
185	482	2111
186	483	2103
187	485	2095
188	486	2089
189	488	2083
190	494	2093
191	496	2090
192	498	2085
193	501	2082
194	502	2075
195	503	2067
196	505	2058
197	506	2050
198	509	2050
199	511	2045
200	512	2037
201	513	2030
202	515	2023
203	518	2021
204	521	2021
205	525	2024
206	526	2016
207	527	2009
208	529	2005
209	531	1997
210	532	1991
211	533	1984
212	535	1979
213	536	1971
214	540	1973
215	542	1967
216	543	1960
217	547	1962
218	548	1957
219	550	1950
220	551	1944
221	557	1952
222	558	1945
223	559	1939
224	561	1933
225	562	1927
226	563	1919
227	564	1912
228	566	1908
229	571	1911
230	572	1906
231	574	1900
232	576	1896
233	577	1891
234	579	1886
235	580	1880
236	582	1875
237	587	1880
238	588	1874
239	591	1873
240	594	1873
241	596	1869
242	598	1865
243	602	1866
244	604	1861
245	605	1856
246	607	1850
247	608	1844
248	609	1837
249	610	1831
250	611	1825
251	612	1819
252	614	1814
253	617	1813
254	618	1807
255	619	1800
256	620	1794
257	621	1788
258	623	1782
259	624	1776
260	625	1771
261	626	1765
262	627	1759
263	629	1755
264	632	1754
265	633	1749
266	635	1744
267	636	1738
268	638	1734
269	639	1730
270	641	1725
271	642	1720
272	643	1714
273	645	1709
274	646	1704
275	648	1700
276	649	1695
277	651	1692
278	652	1687
279	654	1682
280	655	1677
281	656	1672
282	658	1667
283	661	1666
284	662	1663
285	664	1658
286	666	1654
287	667	1651
288	669	1647
289	671	1644
290	673	1639
291	674	1635
292	677	1633
293	678	1629
294	680	1625
295	681	1621
296	682	1616
297	684	1612
298	685	1607
299	686	1602
300	687	1597
301	689	1592
302	691	1591
303	693	1587
304	694	1583
305	695	1578
306	697	1574
307	698	1569
308	700	1565
309	701	1561
310	702	1556
311	703	1552
312	707	1552
313	708	1548
314	710	1544
315	711	1539
316	712	1535
317	714	1531
318	715	1527
319	716	1522
320	717	1518
321	719	1514
322	720	1509
323	721	1505
324	723	1502
325	724	1497
326	725	1493
327	726	1488
328	727	1484
329	729	1480
330	730	1476
331	731	1471
332	732	1468
333	734	1464
334	737	1463
335	738	1459
336	739	1455
337	740	1451
338	742	1447
339	743	1443
340	745	1439
341	746	1436
342	747	1431
343	748	1427
344	752	1429
345	754	1425
346	755	1421
347	756	1417
348	757	1413
349	758	1409
350	759	1404
351	760	1400
352	762	1397
353	764	1394
354	767	1393
355	769	1391
356	770	1387
357	771	1384
358	773	1381
359	774	1377
360	776	1374
361	778	1371
362	779	1367
363	782	1367
364	784	1364
365	785	1360
366	787	1358
367	788	1354
368	790	1351
369	791	1347
370	792	1343
371	793	1340
372	797	1341
373	799	1337
374	804	1340
375	807	1339
376	808	1335
377	810	1333
378	815	1335
379	816	1332
380	818	1329
381	819	1326
382	821	1322
383	823	1321
384	825	1318
385	829	1319
386	831	1316
387	833	1314
388	834	1311
389	836	1308
390	837	1304
391	839	1302
392	843	1302
393	845	1299
394	846	1296
395	848	1293
396	849	1290
397	851	1287
398	852	1284
399	854	1281
400	855	1278
401	858	1277
402	860	1274
403	862	1271
404	863	1268
405	865	1266
406	866	1263
407	868	1260
408	869	1257
409	872	1254
410	873	1252
411	875	1249
412	877	1246
413	878	1243
414	879	1240
415	881	1237
416	883	1234
417	884	1231
418	885	1228
419	888	1227
420	891	1225
421	896	1227
422	897	1224
423	899	1222
424	901	1219
425	903	1217
426	905	1215
427	907	1212
428	908	1209
429	910	1206
430	911	1203
431	913	1200
432	914	1197
433	919	1199
434	921	1197
435	923	1195
436	926	1193
437	928	1191
438	930	1188
439	932	1186
440	935	1185
441	936	1182
442	938	1179
443	941	1179
444	943	1176
445	945	1173
446	948	1173
447	951	1172
448	953	1169
449	954	1166
450	956	1163
451	958	1161
452	959	1158
453	963	1159
454	966	1157
455	968	1155
456	970	1152
457	971	1149
458	972	1146
459	974	1144
460	976	1141
461	979	1140
462	982	1139
463	984	1137
464	986	1134
465	987	1132
466	989	1129
467	996	1132
468	998	1130
469	1000	1128
470	1003	1127
471	1005	1124
472	1006	1121
473	1007	1118
474	1009	1116
475	1011	1113
476	1013	1111
477	1014	1108
478	1016	1105
479	1017	1102
480	1019	1100
481	1021	1097
482	1022	1094
483	1024	1092
484	1026	1089
485	1028	1087
486	1029	1084
487	1031	1081
488	1032	1078
489	1033	1076
490	1035	1073
491	1038	1071
492	1040	1069
493	1041	1066
494	1042	1063
495	1044	1061
496	1045	1058
497	1047	1055
498	1048	1052
499	1050	1050
500	1051	1047
501	1055	1046
502	1057	1044
503	1058	1041
504	1059	1038
505	1061	1036
506	1062	1033
507	1064	1031
508	1066	1028
509	1069	1027
510	1071	1025
511	1072	1022
512	1074	1020
513	1075	1017
514	1077	1014
515	1078	1012
516	1080	1009
517	1081	1006
518	1085	1005
519	1086	1002
520	1087	1000
521	1089	997
522	1091	995
523	1092	992
524	1094	989
525	1095	987
526	1097	984
527	1099	982
528	1100	980
529	1101	977
530	1103	974
531	1104	971
532	1105	968
533	1106	965
534	1107	963
535	1109	960
536	1110	957
537	1113	956
538	1114	953
539	1116	950
540	1117	948
541	1118	945
542	1120	942
543	1121	939
544	1122	937
545	1123	934
546	1125	931
547	1126	929
548	1129	927
549	1130	924
550	1131	922
551	1133	919
552	1134	917
553	1136	914
554	1139	914
555	1141	911
556	1143	909
557	1144	906
558	1146	904
559	1147	901
560	1149	899
561	1150	896
562	1152	894
563	1153	891
564	1154	889
565	1156	886
566	1159	885
567	1160	882
568	1161	880
569	1163	877
570	1165	875
571	1167	873
572	1169	871
573	1170	868
574	1171	866
575	1174	864
576	1176	862
577	1177	860
578	1179	857
579	1180	854
580	1182	852
581	1183	850
582	1185	847
583	1186	845
584	1189	843
585	1190	841
586	1192	838
587	1193	836
588	1194	833
589	1196	831
590	1197	828
591	1199	826
592	1200	824
593	1201	821
594	1204	820
595	1206	817
596	1207	815
597	1208	812
598	1209	809
599	1211	807
600	1212	804
601	1213	802
602	1214	799
603	1215	797
604	1216	794
605	1219	792
606	1220	790
607	1222	787
608	1223	785
609	1224	783
610	1227	781
611	1228	778
612	1229	776
613	1230	773
614	1232	771
615	1234	769
616	1236	767
617	1237	765
618	1239	762
619	1240	760
620	1241	757
621	1243	755
622	1245	753
623	1250	753
624	1251	751
625	1253	748
626	1254	746
627	1255	743
628	1257	741
629	1258	739
630	1259	736
631	1262	734
632	1265	733
633	1266	731
634	1268	728
635	1269	726
636	1270	724
637	1271	721
638	1273	719
639	1274	716
640	1275	714
641	1277	712
642	1279	710
643	1281	708
644	1282	705
645	1283	703
646	1285	701
647	1286	699
648	1288	696
649	1289	694
650	1290	692
651	1292	689
652	1294	687
653	1295	685
654	1297	683
655	1299	681
656	1300	678
657	1302	676
658	1307	676
659	1308	674
660	1309	671
661	1310	669
662	1312	666
663	1313	664
664	1314	662
665	1315	659
666	1317	657
667	1318	655
668	1321	653
669	1322	651
670	1323	649
671	1324	646
672	1326	644
673	1327	642
674	1329	640
675	1330	637
676	1332	635
677	1334	633
678	1336	631
679	1337	629
680	1338	627
681	1340	624
682	1341	622
683	1342	620
684	1344	618
685	1345	615
686	1346	613
687	1350	612
688	1351	609
689	1352	607
690	1353	605
691	1355	603
692	1356	600
693	1357	598
694	1358	596
695	1360	594
696	1361	591
697	1362	589
698	1364	587
699	1365	585
700	1367	583
701	1369	581
702	1371	579
703	1372	577
704	1373	574
705	1377	573
706	1379	571
707	1381	569
708	1382	567
709	1383	565
710	1384	562
711	1385	560
712	1388	558
713	1389	556
714	1390	554
715	1393	552
716	1395	550
717	1396	548
718	1397	546
719	1399	544
720	1400	541
721	1401	539
722	1402	537
723	1404	535
724	1407	533
725	1410	532
726	1411	530
727	1413	527
728	1414	525
729	1415	523
730	1416	521
731	1417	519
732	1419	516
733	1420	514
734	1421	512
735	1423	510
736	1424	508
737	1425	506
738	1426	503
739	1428	501
740	1429	499
741	1430	497
742	1431	495
743	1432	493
744	1434	490
745	1436	489
746	1438	487
747	1440	485
748	1441	483
749	1442	480
750	1444	478
751	1445	476
752	1446	474
753	1447	472
754	1449	470
755	1453	469
756	1454	467
757	1456	464
758	1458	463
759	1460	461
760	1461	459
761	1463	457
762	1464	454
763	1466	453
764	1468	451
765	1470	449
766	1471	447
767	1472	444
768	1473	442
769	1475	440
770	1476	438
771	1478	436
772	1479	434
773	1480	432
774	1483	430
775	1484	428
776	1486	426
777	1487	424
778	1488	422
779	1490	420
780	1491	418
781	1493	416
782	1494	414
783	1496	412
784	1498	410
785	1500	408
786	1501	406
787	1502	404
788	1504	402
789	1505	400
790	1507	398
791	1508	396
792	1512	394
793	1514	392
794	1515	390
795	1517	388
796	1518	386
797	1519	384
798	1520	382
799	1522	380
800	1523	378
801	1524	376
802	1527	374
803	1528	372
804	1530	370
805	1531	368
806	1532	366
807	1533	364
808	1535	362
809	1536	360
810	1537	358
811	1539	356
812	1541	354
813	1543	352
814	1545	350
815	1546	348
816	1548	346
817	1549	344
818	1550	342
819	1551	340
820	1553	338
821	1554	336
822	1557	335
823	1559	333
824	1560	330
825	1561	328
826	1562	326
827	1564	324
828	1565	322
829	1567	320
830	1568	318
831	1570	317
832	1573	315
833	1574	313
834	1575	311
835	1576	309
836	1580	307
837	1582	305
838	1584	303
839	1585	301
840	1588	300
841	1589	298
842	1591	296
843	1592	294
844	1593	292
845	1594	290
846	1595	288
847	1597	286
848	1598	284
849	1599	282
850	1602	280
851	1604	278
852	1605	276
853	1606	274
854	1607	272
855	1609	270
856	1610	268
857	1611	266
858	1612	264
859	1614	262
860	1618	261
861	1620	259
862	1623	257
863	1624	255
864	1626	253
865	1627	251
866	1628	249
867	1630	247
868	1631	245
869	1634	244
870	1635	242
871	1636	240
872	1639	238
873	1640	236
874	1641	234
875	1643	232
876	1645	230
877	1646	228
878	1649	227
879	1651	225
880	1652	223
881	1654	221
882	1655	219
883	1657	217
884	1659	215
885	1660	213
886	1661	211
887	1664	209
888	1665	207
889	1666	206
890	1667	204
891	1669	202
892	1670	200
893	1671	198
894	1672	196
895	1674	194
896	1675	192
897	1677	190
898	1679	188
899	1680	186
900	1683	185
901	1685	183
902	1686	181
903	1688	179
904	1689	177
905	1691	175
906	1693	173
907	1695	171
908	1697	169
909	1698	167
910	1699	166
911	1701	164
912	1702	162
913	1704	160
914	1705	158
915	1707	156
916	1710	154
917	1712	152
918	1713	151
919	1715	149
920	1716	147
921	1718	145
922	1719	143
923	1720	141
924	1723	139
925	1725	137
926	1727	136
927	1728	134
928	1730	132
929	1731	130
930	1733	128
931	1734	126
932	1736	124
933	1738	122
934	1740	120
935	1741	119
936	1743	117
937	1744	115
938	1746	113
939	1747	111
940	1749	109
941	1750	107
942	1752	105
943	1755	104
944	1756	102
945	1758	100
946	1759	98
947	1761	96
948	1762	94
949	1764	92
950	1766	90
951	1767	89
952	1769	87
953	1770	85
954	1772	83
955	1774	81
956	1775	79
957	1776	77
958	1778	76
959	1779	74
960	1781	72
961	1783	70
962	1785	68
963	1786	66
964	1787	64
965	1789	62
966	1790	61
967	1791	59
968	1794	57
969	1795	55
970	1798	53
971	1800	51
972	1802	50
973	1803	48
974	1805	46
975	1806	44
976	1808	42
977	1810	40
978	1811	38
979	1815	37
980	1816	35
981	1817	33
982	1819	31
983	1821	29
984	1822	27
985	1824	25
986	1825	24
987	1829	22
988	1830	20
989	1833	18
990	1835	16
991	1836	14
992	1838	12
993	1840	11
994	1845	9
995	1847	7
996	1848	5
997	1850	3
998	1851	1
999	1853	0
